CARPINA - L. DO CARRO;6; R$  2,30 
CARPINA - LIMOEIRO;22; R$  4,44 
CARPINA - MENDES;32; R$  6,45 
CARPINA - BIZARRA;39; R$  7,86 
CARPINA - MACHADOS;53; R$  10,69 
L. DO CARRO - LIMOEIRO;16; R$  3,23 
L. DO CARRO - MENDES;26; R$  5,24 
L. DO CARRO - BIZARRA;33; R$  6,65 
L. DO CARRO - MACHADOS;47; R$  9,48 
LIMOEIRO - MENDES;10; R$  3,00 
LIMOEIRO - BIZARRA;17; R$  3,43 
LIMOEIRO - MACHADOS;31; R$  6,25 
MENDES - BIZARRA;13; R$  3,00 
MENDES - MACHADOS;21; R$  4,23 
BIZARRA - MACHADOS;14; R$  3,00 
RECIFE - SALGADINHO;115; R$  23,19 
RECIFE - BAR CHÃ;38; R$  7,66 
RECIFE - PAUDALHO;45; R$  9,07 
RECIFE - CARPINA;57; R$  11,49 
RECIFE - L. DO CARRO;63; R$  12,70 
RECIFE - LIMOEIRO;79; R$  15,93 
RECIFE - PASSIRA;105; R$  21,17 
RECIFE - SALGADINHO;115; R$  23,19 
CAMARAGIBE - SÃO LOURENÇO;8; R$  -   
CAMARAGIBE - BAR CHÃ;23; R$  4,64 
CAMARAGIBE - PAUDALHO;30; R$  6,05 
CAMARAGIBE - CARPINA;42; R$  8,47 
CAMARAGIBE - L. DO CARRO;48; R$  9,68 
CAMARAGIBE - LIMOEIRO;64; R$  12,91 
CAMARAGIBE - PASSIRA;90; R$  18,15 
CAMARAGIBE - SALGADINHO;100; R$  20,17 
SÃO LOURENÇO - BAR CHÃ;15; R$  3,02 
SÃO LOURENÇO - PAUDALHO;22; R$  4,44 
SÃO LOURENÇO - CARPINA;34; R$  6,86 
SÃO LOURENÇO - L. DO CARRO;40; R$  8,07 
SÃO LOURENÇO - LIMOEIRO;56; R$  11,29 
SÃO LOURENÇO - PASSIRA;82; R$  16,54 
SÃO LOURENÇO - SALGADINHO;92; R$  18,55 
BAR CHÃ - PAUDALHO;7; R$  3,00 
BAR CHÃ - CARPINA;19; R$  3,83 
BAR CHÃ - L. DO CARRO;25; R$  5,04 
BAR CHÃ - LIMOEIRO;41; R$  8,27 
BAR CHÃ - PASSIRA;67; R$  13,51 
BAR CHÃ - SALGADINHO;76; R$  15,33 
PAUDALHO - CARPINA;12; R$  3,00 
PAUDALHO - L. DO CARRO;18; R$  3,63 
PAUDALHO - LIMOEIRO;34; R$  6,86 
PAUDALHO - PASSIRA;60; R$  12,10 
PAUDALHO - SALGADINHO;69; R$  13,91 
CARPINA - L. DO CARRO;6; R$  3,00 
CARPINA - LIMOEIRO;22; R$  4,44 
CARPINA - PASSIRA;48; R$  9,68 
CARPINA - SALGADINHO;57; R$  11,49 
L. DO CARRO - LIMOEIRO;16; R$  3,23 
L. DO CARRO - PASSIRA;42; R$  8,47 
L. DO CARRO - SALGADINHO;51; R$  10,28 
LIMOEIRO - PASSIRA;26; R$  5,24 
LIMOEIRO - SALGADINHO;35; R$  7,06 
PASSIRA - SALGADINHO;9; R$  3,00 
RECIFE - UMBURETAMA;120; R$  24,20 
RECIFE - BAR CHÃ;38; R$  7,66 
RECIFE - PAUDALHO;45; R$  9,07 
RECIFE - CARPINA;57; R$  11,49 
RECIFE - L. DO CARRO;63; R$  12,70 
RECIFE - LIMOEIRO;79; R$  15,93 
RECIFE - MENDES;86; R$  17,34 
RECIFE - FREITAS;94; R$  18,96 
RECIFE - ENCRUZILHADA;99; R$  19,96 
RECIFE - BOM JARDIM;106; R$  21,38 
RECIFE - OROBÓ;114; R$  22,99 
RECIFE - UMBURETAMA;120; R$  24,20 
CAMARAGIBE - BAR CHÃ;23; R$  4,64 
CAMARAGIBE - PAUDALHO;30; R$  6,05 
CAMARAGIBE - CARPINA;42; R$  8,47 
CAMARAGIBE - L. DO CARRO;48; R$  9,68 
CAMARAGIBE - LIMOEIRO;64; R$  12,91 
CAMARAGIBE - MENDES;71; R$  14,32 
CAMARAGIBE - FREITAS;79; R$  15,93 
CAMARAGIBE - ENCRUZILHADA;84; R$  16,94 
CAMARAGIBE - BOM JARDIM;91; R$  18,35 
CAMARAGIBE - OROBÓ;99; R$  19,96 
CAMARAGIBE - UMBURETAMA;110; R$  22,18 
SÃO LOURENÇO - BAR CHÃ;15; R$  3,02 
SÃO LOURENÇO - PAUDALHO;22; R$  4,44 
SÃO LOURENÇO - CARPINA;34; R$  6,86 
SÃO LOURENÇO - L. DO CARRO;40; R$  8,07 
SÃO LOURENÇO - LIMOEIRO;56; R$  11,29 
SÃO LOURENÇO - MENDES;63; R$  12,70 
SÃO LOURENÇO - FREITAS;71; R$  14,32 
SÃO LOURENÇO - ENCRUZILHADA;76; R$  15,33 
SÃO LOURENÇO - BOM JARDIM;83; R$  16,74 
SÃO LOURENÇO - OROBÓ;91; R$  18,35 
SÃO LOURENÇO - UMBURETAMA;102; R$  20,57 
BAR CHÃ - PAUDALHO;7; R$  3,00 
BAR CHÃ - CARPINA;19; R$  3,83 
BAR CHÃ - L. DO CARRO;25; R$  5,04 
BAR CHÃ - LIMOEIRO;41; R$  8,27 
BAR CHÃ - MENDES;51; R$  10,28 
BAR CHÃ - FREITAS;59; R$  11,90 
BAR CHÃ - ENCRUZILHADA;64; R$  12,91 
BAR CHÃ - BOM JARDIM;71; R$  14,32 
BAR CHÃ - OROBÓ;79; R$  15,93 
BAR CHÃ - UMBURETAMA;90; R$  18,15 
PAUDALHO - CARPINA;12; R$  3,00 
PAUDALHO - L. DO CARRO;18; R$  3,63 
PAUDALHO - LIMOEIRO;34; R$  6,86 
PAUDALHO - MENDES;44; R$  8,87 
PAUDALHO - FREITAS;52; R$  10,49 
PAUDALHO - ENCRUZILHADA;57; R$  11,49 
PAUDALHO - BOM JARDIM;64; R$  12,91 
PAUDALHO - OROBÓ;72; R$  14,52 
PAUDALHO - UMBURETAMA;83; R$  16,74 
CARPINA - L. DO CARRO;6; R$  2,30 
CARPINA - LIMOEIRO;22; R$  4,44 
CARPINA - MENDES;32; R$  6,45 
CARPINA - FREITAS;40; R$  8,07 
CARPINA - ENCRUZILHADA;45; R$  9,07 
CARPINA - BOM JARDIM;52; R$  10,49 
CARPINA - OROBÓ;60; R$  12,10 
CARPINA - UMBURETAMA;71; R$  14,32 
L. DO CARRO - LIMOEIRO;16; R$  3,23 
L. DO CARRO - MENDES;26; R$  5,24 
L. DO CARRO - FREITAS;34; R$  6,86 
L. DO CARRO - ENCRUZILHADA;39; R$  7,86 
L. DO CARRO - BOM JARDIM;46; R$  9,28 
L. DO CARRO - OROBÓ;54; R$  10,89 
L. DO CARRO - UMBURETAMA;65; R$  13,11 
LIMOEIRO - MENDES;10; R$  2,30 
LIMOEIRO - FREITAS;18; R$  3,63 
LIMOEIRO - ENCRUZILHADA;23; R$  4,64 
LIMOEIRO - BOM JARDIM;30; R$  6,05 
LIMOEIRO - OROBÓ;38; R$  7,66 
LIMOEIRO - UMBURETAMA;49; R$  9,88 
MENDES - FREITAS;13; R$  3,00 
MENDES - ENCRUZILHADA;13; R$  3,00 
MENDES - BOM JARDIM;24; R$  4,84 
MENDES - OROBÓ;32; R$  6,45 
MENDES - UMBURETAMA;43; R$  8,67 
FREITAS - ENCRUZILHADA;5; R$  3,00 
